Time,Sequence Number,Event
2.0000000000000013,150001,transmit
2.0020000000000007,224001,send
2.0020000000000016,224001,ack
2.0080000000000013,151001,transmit
2.010000000000001,224001,ack
2.0160000000000013,152001,transmit
2.018000000000001,224001,ack
2.0240000000000014,153001,transmit
2.026000000000001,224001,ack
2.0320000000000014,154001,transmit
2.034000000000001,224001,ack
2.0400000000000014,155001,transmit
2.042000000000001,224001,ack
2.0480000000000014,156001,transmit
2.050000000000001,224001,ack
2.0560000000000014,157001,transmit
2.058000000000001,224001,ack
2.0640000000000014,158001,transmit
2.066000000000001,224001,ack
2.0720000000000014,159001,transmit
2.074000000000001,224001,ack
2.0800000000000014,160001,transmit
2.082000000000001,224001,ack
2.0880000000000014,161001,transmit
2.090000000000001,224001,ack
2.0960000000000014,162001,transmit
2.098000000000001,224001,ack
2.1040000000000014,163001,transmit
2.106000000000001,224001,ack
2.1120000000000014,164001,transmit
2.114000000000001,224001,ack
2.1200000000000014,165001,transmit
2.122000000000001,224001,ack
2.1280000000000014,166001,transmit
2.1300000000000012,224001,ack
2.1360000000000015,167001,transmit
2.1380000000000012,224001,ack
2.1440000000000015,168001,transmit
2.1460000000000012,224001,ack
2.1520000000000015,169001,transmit
2.1540000000000012,224001,ack
2.1600000000000015,170001,transmit
2.1620000000000013,224001,ack
2.1680000000000015,171001,transmit
2.1700000000000013,224001,ack
2.1760000000000015,172001,transmit
2.1780000000000013,224001,ack
2.1840000000000015,173001,transmit
2.1860000000000013,224001,ack
2.1920000000000015,174001,transmit
2.1940000000000013,224001,ack
2.2000000000000015,175001,transmit
2.2020000000000013,224001,ack
2.2080000000000015,176001,transmit
2.2100000000000013,224001,ack
2.2160000000000015,177001,transmit
2.2180000000000013,224001,ack
2.2240000000000015,178001,transmit
2.2260000000000013,224001,ack
2.2320000000000015,179001,transmit
2.2340000000000013,224001,ack
2.2400000000000015,180001,transmit
2.2420000000000013,224001,ack
2.2480000000000016,181001,transmit
2.2500000000000013,224001,ack
2.2560000000000016,182001,transmit
2.2580000000000013,224001,ack
2.2640000000000016,183001,transmit
2.2660000000000013,224001,ack
2.2720000000000016,184001,transmit
2.2740000000000014,224001,ack
